iteration, nr_elements, global_error, exact_error
5, 872, 0.08366708524903131, 0.07611943318572224
6, 1726, 0.04316833961105491, 0.03818715628148281
7, 3424, 0.026475256598224355, 0.019145924823667466
8, 7063, 0.010344905013000637, 0.009227156925607737
9, 14410, 0.004778820728904773, 0.004477713809150924
10, 29153, 0.0021801556448524414, 0.002188187495831721
11, 59110, 0.001154628702177202, 0.0010717805311840475
12, 118388, 0.0010325680622266247, 0.0005345395409345095
13, 231173, 0.0007265018591774332, 0.00028058245333959707
1, 59, 4.639267413149631, 3.8418737860236103
2, 101, 1.7571237661564598, 2.5089612029946458
3, 182, 1.00905586648941, 1.2659888023249926
4, 336, 0.46860806360528245, 0.5893786727608162
5, 661, 0.26128851656074603, 0.2922311329748975
6, 1296, 0.14683059973276422, 0.14515921013246483
7, 2589, 0.0798303817090255, 0.07158888356062713
8, 5169, 0.042148349210012113, 0.035728436643258116
9, 10370, 0.01970371184806735, 0.017748171089609282
10, 20891, 0.008941836901505984, 0.008790236428736943
11, 42093, 0.004158157156507731, 0.004311846344080363
12, 84649, 0.0022315010182224876, 0.0021226457498824372
13, 169977, 0.0014469866013299775, 0.0010530857110613355
14, 339698, 0.00156291953476622, 0.0005268418314671726
15, 592646, 0.0014157238625258587, 0.00033394226515730274
16, 1094046, 0.0008698948894192564, 0.00021192635010429517
1, 59, 3.65872469881277, 3.941626766479141
2, 113, 1.5621408212576113, 1.804272151875146
3, 219, 0.7715678654613731, 0.8836216787278031
4, 441, 0.39157584170519955, 0.4328721003507956
5, 874, 0.2226191604350822, 0.2146716431192057
6, 1747, 0.12342673056399135, 0.10625280648628875
7, 3495, 0.06501110284994918, 0.05270738469309851
8, 7047, 0.030874873199229387, 0.026069240881447027
9, 14256, 0.01391008590052668, 0.012946561938101075
10, 28554, 0.0061768987090918374, 0.006432270361564433
11, 57667, 0.0030090467362606397, 0.0031713106875118527
12, 114699, 0.0017907228440082563, 0.0015913136519102727
13, 229423, 0.001493101706418273, 0.0007955365233384411
14, 443470, 0.0017178538150622233, 0.00042087182358953193
15, 702918, 0.0014811334446824878, 0.0003164341450016652
16, 1332099, 0.0009467946890842254, 0.00025032394281710823
1, 59, 2.119975810354469, 1.8669528003848244
2, 108, 0.8485858663413665, 1.0278875224736628
3, 205, 0.4722207346417639, 0.5368431956816931
4, 390, 0.24171585980150176, 0.2614390065414826
5, 763, 0.13232289141379644, 0.13028001441460596
6, 1512, 0.06769970626100226, 0.0640752362284991
7, 3020, 0.038973158474127044, 0.03158380384443215
8, 6000, 0.01845963409001609, 0.01576062686431049
9, 12154, 0.008421067462114533, 0.007989511567697519
10, 24449, 0.003939684057072248, 0.003909279430135385
11, 49110, 0.001862982813910589, 0.0018872832807674085
12, 98884, 0.001155163090818173, 0.0009329305734028567
13, 198150, 0.0011086977986055908, 0.00046553155408874904
14, 377330, 0.0007913686121869678, 0.00026780057194601394
1, 59, 1.011674901091085, 1.0695672710286446
2, 107, 0.5215370814668606, 0.5522276112896928
3, 198, 0.2788906898583121, 0.3057077539616994
4, 381, 0.1562109597672873, 0.14891330759974672
5, 746, 0.08158524943739648, 0.07394942445748522
6, 1475, 0.04168201731805241, 0.03704857927603364
7, 2937, 0.02538510865985095, 0.01860682340916528
8, 5986, 0.010331934485064372, 0.009044353356589999
9, 12288, 0.0046108543079621984, 0.004343404099802074
10, 25122, 0.00209124000822967, 0.0020897901585883814
11, 51405, 0.0010933985730634534, 0.0010099459075343516
12, 102965, 0.0009498170935669201, 0.0005033089822450759
1, 59, 1.7540119659227198, 1.8280701705621345
2, 9291, 0.015196234238988733, 0.012160628255484784
3, 20056, 0.00453384162545768, 0.004455419812420865
1, 59, 1.7308986788048097, 1.6257226835099463
2, 9294, 0.010885192898489642, 0.009231841943945725
3, 19258, 0.004503995600071534, 0.004353421875328419
1, 59, 2.147455974165204, 2.5449410705170186
2, 11826, 0.019311690660082155, 0.01715314470930413
3, 28605, 0.004971644054406258, 0.004922766417737701
1, 59, 3.0143545977400876, 2.83606806171796
2, 15665, 0.01659352944822135, 0.014616198765214914
3, 33787, 0.004517415249191775, 0.004575851563238158
1, 59, 2.2211662643598893, 2.128040711141062
2, 12027, 0.012096270147699801, 0.01129868863573542
3, 25225, 0.004468445967394736, 0.004392708122455022
1, 59, 4.256860145242604, 4.21902337240282
2, 20895, 0.01645234206081934, 0.014110623886063562
3, 43801, 0.00453553361387663, 0.004667232459309258
1, 59, 3.0296069212357057, 2.9861623505637342
2, 16299, 0.01288492046800112, 0.012042880951125767
3, 33871, 0.004422245687053778, 0.004527132241760762
1, 59, 1.86157731711749, 1.6926930217422673
2, 8972, 0.01751747716570713, 0.01458638340721663
3, 18920, 0.00464499078590799, 0.004493161154971792
1, 59, 3.48668746604766, 3.4285783584450997
2, 18560, 0.010365699181499623, 0.009718283701730621
3, 38307, 0.004117269762806379, 0.0043896003653933376
1, 59, 2.2909011446399337, 2.6360678063173317
